INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('XR's', 'N', 'B-MISC')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('Honda's', 'N', 'B-MISC')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('collega's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('Honda's', 'N', 'B-MISC')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('collega's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('zo'n', 'Pron', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('webcamera's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('camera's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('zo'n', 'Pron', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('schakelprogramma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('zo'n', 'Pron', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('vrijetijdsauto's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('zo'n', 'Pron', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('programma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('programma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('risico's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('programma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('programma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('programma's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('royalty's', 'N', 'O')
INSERT INTO ner_annotated_corpus_conll2002_ned_2 (word, pos_tag, named_entity) VALUES ('McDonald's', 'N', 'B-ORG')
